User_ID,h_linear,h_dB
63,2.0724202593011954e-09,-119.9999813474146
64,1.0904859909488158e-08,-119.9994835852101
65,3.2353168662447786e-09,-119.99995454143921
66,3.335123141159525e-09,-119.99995169349206
67,3.9437374736674185e-09,-119.99993245442107
68,5.366187044197627e-10,-119.99999874940738
69,3.27716572741206e-09,-119.99995335782566
70,2.888958895620974e-09,-119.99996375357115
71,1.929736134314806e-08,-119.99838303984212
72,2.8625895264363296e-09,-119.99996441223715
73,1.0964238281844836e-07,-119.94810281533472
74,2.1934774900664953e-09,-119.99997910465095
75,3.4749359593306155e-09,-119.99994755847653
76,1.773877227221509e-08,-119.99863364639015
77,2.131707524478172e-09,-119.999980264935
78,4.224277468067402e-09,-119.99992250292522
79,1.7666915074796224e-09,-119.99998644482665
80,1.037283618187541e-08,-119.99953274281685
81,3.267563473500025e-10,-119.99999953630507
82,1.259080501871941e-09,-119.9999931152058
83,6.829087140902183e-09,-119.99979746527555
84,9.984487593828938e-10,-119.99999567052079
85,4.108952065632999e-10,-119.99999926675953
86,2.4489986421728766e-10,-119.9999997395278
87,7.612082148187029e-08,-119.9749079561407
88,6.081698089200327e-10,-119.99999839367305
89,4.771957869662701e-09,-119.99990110540232
90,3.911512555571123e-09,-119.99993355375453
91,8.768382481386397e-09,-119.99966610755837
92,5.367663158074242e-09,-119.99987487371124
93,2.4680164707164324e-09,-119.99997354674636
94,1.0606695048743145e-08,-119.99951143759105
95,3.3936213964626054e-08,-119.99500125331966
96,4.900502509610767e-09,-119.99989570575886
97,5.120874442025761e-09,-119.99988611490926
98,6.367779784332599e-09,-119.99982390315375
99,5.764447180639332e-09,-119.99985569133001
100,4.804351796243203e-09,-119.99989975818974
101,3.5198185448579412e-09,-119.99994619505755
102,5.878878443518348e-08,-119.98501613458558
103,4.546477941971275e-09,-119.99991023025333
104,1.7822959588107784e-08,-119.99862064838837
105,2.5027137740766408e-08,-119.99728061496909
106,9.830250703440777e-09,-119.99958034488958
107,2.8593962540805638e-09,-119.99996449159016
108,2.8322877572238655e-09,-119.99996516167073
109,1.0351965846138283e-08,-119.99953462108462
110,2.9893869213276055e-09,-119.99996118973294
111,3.1172654230585577e-10,-119.99999957798116
112,1.288641881438179e-08,-119.99927887136955
113,7.062034273418092e-09,-119.99978341263198
114,2.9875231908314236e-09,-119.9999612381101
115,1.2935591880122798e-08,-119.99927335784561
116,5.8323717277690784e-09,-119.99985227046972
117,6.586548222596142e-10,-119.99999811591726
118,2.7330387272636367e-09,-119.99996756049185
119,1.9053399915399027e-09,-119.99998423374709
120,9.54866781764069e-10,-119.99999604023253
121,1.3550934326847442e-09,-119.99999202515238
122,3.458453231168738e-09,-119.99994805478738
123,1.7553101527659926e-09,-119.9999866189137
124,1.293860188363019e-08,-119.99927301966753
125,1.7160933606007688e-09,-119.99998721014875
126,6.385389093150412e-08,-119.98232842878024
